
p is initialized as 0.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
183   1.85558367   1.85558522    0.00001717   0.00000155
184   1.85558522   1.85558379   -0.00001812   0.00000143
185   1.85558379   1.85558522    0.00001717   0.00000143
186   1.85558522   1.85558379   -0.00001812   0.00000143
187   1.85558379   1.85558522    0.00001717   0.00000143
188   1.85558522   1.85558379   -0.00001812   0.00000143
189   1.85558379   1.85558522    0.00001717   0.00000143
190   1.85558522   1.85558379   -0.00001812   0.00000143
191   1.85558379   1.85558522    0.00001717   0.00000143
192   1.85558522   1.85558379   -0.00001812   0.00000143
193   1.85558379   1.85558522    0.00001717   0.00000143
194   1.85558522   1.85558379   -0.00001812   0.00000143
195   1.85558379   1.85558522    0.00001717   0.00000143
196   1.85558522   1.85558379   -0.00001812   0.00000143
197   1.85558379   1.85558522    0.00001717   0.00000143
198   1.85558522   1.85558379   -0.00001812   0.00000143
199   1.85558379   1.85558522    0.00001717   0.00000143

p is initialized as 1.0

It.      Pn-1           Pn        f(Pn)     Absolute Error
 -----------------------------------------------------------
  1   1.00000000   3.31662488  107.68339539   2.31662488
  2   3.31662488   1.10027361   -9.63471603   2.21635127
  3   1.10027361   3.02807164   71.04649353   1.92779803
  4   3.02807164   1.19199359   -9.17318249   1.83607805
  5   1.19199359   2.80659533   49.24017715   1.61460173
  6   2.80659533   1.27507877   -8.63176918   1.53151655
  7   1.27507877   2.63343596   35.46058655   1.35835719
  8   2.63343596   1.34970224   -8.03112507   1.28373373
  9   1.34970224   2.49605560   26.32050323   1.14635336
 10   2.49605560   1.41622484   -7.39342165   1.07983077
 11   1.41622484   2.38577247   20.01206970   0.96954763
 12   2.38577247   1.47513759   -6.74002743   0.91063488
 13   1.47513759   2.29639411   15.51262856   0.82125652
 14   2.29639411   1.52701211   -6.08987999   0.76938200
 15   1.52701211   2.22339129   12.21449471   0.69637918
 16   2.22339129   1.57246125   -5.45854044   0.65093005
 17   1.57246125   2.16338062    9.74103928   0.59091938
 18   2.16338062   1.61210835   -4.85786152   0.55127227
 19   1.61210835   2.11378741    7.85010529   0.50167906
 20   2.11378741   1.64656413   -4.29610205   0.46722329
 21   1.64656413   2.07262278    6.38097763   0.42605865
 22   2.07262278   1.67641115   -3.77832031   0.39621162
 23   1.67641115   2.03832841    5.22389221   0.36191726
 24   2.03832841   1.70219350   -3.30690384   0.33613491
 25   1.70219350   2.00966978    4.30201340   0.30747628
 26   2.00966978   1.72441113   -2.88215160   0.28525865
 27   1.72441113   1.98565912    3.56034660   0.26124799
 28   1.98565912   1.74351728   -2.50281382   0.24214184
 29   1.74351728   1.96549904    2.95871162   0.22198176
 30   1.96549904   1.75991845   -2.16657066   0.20558059
 31   1.75991845   1.94854116    2.46724701   0.18862271
 32   1.94854116   1.77397645   -1.87041473   0.17456472
 33   1.77397645   1.93425500    2.06338787   0.16027856
 34   1.93425500   1.78601015   -1.61098003   0.14824486
 35   1.78601015   1.92220402    1.72984791   0.13619387
 36   1.92220402   1.79629970   -1.38475418   0.12590432
 37   1.79629970   1.91202736    1.45320129   0.11572766
 38   1.91202736   1.80508947   -1.18825722   0.10693789
 39   1.80508947   1.90342557    1.22291374   0.09833610
 40   1.90342557   1.81259203   -1.01814842   0.09083354
 41   1.81259203   1.89614940    1.03062534   0.08355737
 42   1.89614940   1.81899142   -0.87129784   0.07715797
 43   1.81899142   1.88999021    0.86964417   0.07099879
 44   1.88999021   1.82444668   -0.74483109   0.06554353
 45   1.82444668   1.88477373    0.73457336   0.06032705
 46   1.88477373   1.82909489   -0.63613415   0.05567884
 47   1.82909489   1.88035357    0.62102985   0.05125868
 48   1.88035357   1.83305371   -0.54287624   0.04729986
 49   1.83305371   1.87660658    0.52542782   0.04355288
 50   1.87660658   1.83642399   -0.46298504   0.04018259
 51   1.83642399   1.87342918    0.44482327   0.03700519
